# x,y,susceptibility,density
-1.686000000000000000e+06,1.743250000000000000e+06,-9.436954636614133807e-03,-3.397783482523936982e+01
-1.685750000000000000e+06,1.743250000000000000e+06,-9.107921795326212600e-03,-4.225088975576707639e+01
-1.685500000000000000e+06,1.743250000000000000e+06,-8.943611436770165790e-03,-4.839419204058336277e+01
-1.685250000000000000e+06,1.743250000000000000e+06,-8.907819927243959546e-03,-5.178783485973841039e+01
-1.685000000000000000e+06,1.743250000000000000e+06,-9.028135260879435742e-03,-5.802057250362821605e+01
-1.684750000000000000e+06,1.743250000000000000e+06,-9.370220729857450803e-03,-6.236476948498031447e+01
-1.684500000000000000e+06,1.743250000000000000e+06,-8.440540655135067571e-03,-6.824845799609860819e+01
-1.684250000000000000e+06,1.743250000000000000e+06,5.041079801468645316e-03,-7.853272215209628371e+01
-1.684000000000000000e+06,1.743250000000000000e+06,5.395496707268576664e-03,-9.492525988967358330e+01
-1.683750000000000000e+06,1.743250000000000000e+06,6.782038979461793571e-03,-1.092955929141068907e+02
-1.683500000000000000e+06,1.743250000000000000e+06,9.758913648364592186e-03,-1.186488101840903937e+02
-1.683250000000000000e+06,1.743250000000000000e+06,1.442773584526113595e-02,-1.295270578260320349e+02
-1.683000000000000000e+06,1.743250000000000000e+06,1.728183025361436365e-02,-1.408743558988767006e+02
-1.682750000000000000e+06,1.743250000000000000e+06,1.767956043940481503e-02,-1.468670439025096357e+02
-1.682500000000000000e+06,1.743250000000000000e+06,1.751338549090993013e-02,-1.502742460523061823e+02
-1.682250000000000000e+06,1.743250000000000000e+06,1.665772798525451404e-02,-1.531999169237379874e+02
-1.682000000000000000e+06,1.743250000000000000e+06,1.584150577306357721e-02,-1.560125451731091459e+02
-1.681750000000000000e+06,1.743250000000000000e+06,1.511510087471794328e-02,-1.579730461451774204e+02
-1.681500000000000000e+06,1.743250000000000000e+06,1.454078423696596178e-02,-1.587989726808079922e+02
-1.681250000000000000e+06,1.743250000000000000e+06,1.441847237926000003e-02,-1.591805832217059731e+02
-1.681000000000000000e+06,1.743250000000000000e+06,1.440379692876239681e-02,-1.591800959057368630e+02
-1.680750000000000000e+06,1.743250000000000000e+06,1.461207577992222617e-02,-1.589919691019946697e+02
-1.680500000000000000e+06,1.743250000000000000e+06,1.511153712387555692e-02,-1.585769649813275919e+02
-1.680250000000000000e+06,1.743250000000000000e+06,1.554531126718568246e-02,-1.580609983321502909e+02
-1.680000000000000000e+06,1.743250000000000000e+06,1.589081210124980437e-02,-1.571953062158162027e+02
-1.679750000000000000e+06,1.743250000000000000e+06,1.654331987730639497e-02,-1.543882054265042711e+02
-1.679500000000000000e+06,1.743250000000000000e+06,1.716278933177335653e-02,-1.525249135940265433e+02
-1.679250000000000000e+06,1.743250000000000000e+06,1.763247760180866597e-02,-1.512843546157957348e+02
-1.679000000000000000e+06,1.743250000000000000e+06,1.788012416325761300e-02,-1.499245086012252273e+02
-1.678750000000000000e+06,1.743250000000000000e+06,1.815689381353510767e-02,-1.464511388870291171e+02
-1.678500000000000000e+06,1.743250000000000000e+06,1.816047143923002483e-02,-1.454726694909653588e+02
