X,Y,grav,Elev
-1678000,1726000,-9.37053394317627,510.331481933594
-1677500,1726000,-8.02592468261719,509.890411376953
-1677000,1726000,-6.06705284118652,508.882263183594
-1676500,1726000,-3.98221683502197,507.964263916016
-1676000,1726000,-2.09708523750305,507.311553955078
-1675500,1726000,-0.481608539819717,506.565948486328
-1675000,1726000,0.71573281288147,505.643798828125
-1674500,1726000,1.82923698425293,505.39794921875
-1674000,1726000,3.3105800151825,506.783966064453
-1673500,1726000,4.42465782165527,509.421875
-1673000,1726000,5.15372657775879,511.169464111328
-1672500,1726000,5.17489719390869,511.828887939453
-1672000,1726000,4.29881000518799,511.360870361328
-1671500,1726000,2.78312087059021,510.1103515625
-1671000,1726000,1.1554194688797,508.640472412109
-1670500,1726000,-0.0422483272850513,507.411437988281
-1670000,1726000,-0.333093643188477,507.028625488281
-1669500,1726000,0.29022029042244,507.571105957031
-1669000,1726000,1.12787306308746,508.185516357422
-1668500,1726000,1.60849213600159,508.869018554688
-1668000,1726000,1.0295147895813,509.462219238281
-1667500,1726000,-0.270937591791153,508.991607666016
-1667000,1726000,-1.59533166885376,507.868835449219
-1666500,1726000,-2.34883880615234,506.877990722656
-1666000,1726000,-2.05615329742432,506.434234619141
-1665500,1726000,-0.903136730194092,506.523040771484
-1665000,1726000,0.351607769727707,506.946899414063
-1664500,1726000,1.36591947078705,507.307434082031
-1664000,1726000,1.65921854972839,507.53515625
-1663500,1726000,1.63557612895966,507.545043945313
-1683500,1726500,-9.36111736297607,499.153137207031
-1683000,1726500,-8.70033836364746,498.550659179688
-1682500,1726500,-7.98522663116455,497.983673095703
-1682000,1726500,-7.23749923706055,497.024658203125
-1681500,1726500,-5.53695964813232,495.385589599609
-1681000,1726500,-3.62800478935242,494.058319091797
-1680500,1726500,-2.69445514678955,494.544616699219
-1680000,1726500,-3.44300675392151,497.577941894531
-1679500,1726500,-5.49332618713379,501.866821289063
-1679000,1726500,-7.60085391998291,506.205108642578
-1678500,1726500,-8.94182777404785,509.406402587891
-1678000,1726500,-8.98240184783936,510.527252197266
-1677500,1726500,-7.76814889907837,510.074249267578
-1677000,1726500,-5.87682819366455,508.913482666016
-1676500,1726500,-3.60214352607727,507.914581298828
-1676000,1726500,-1.78648269176483,507.169128417969
-1675500,1726500,-0.100647300481796,506.568603515625
-1675000,1726500,1.49126994609833,506.103759765625
