X,Y,Topo
-1636000,1649500,-456.927154541016
-1635500,1649500,-480.861175537109
-1635000,1649500,-524.227844238281
-1634500,1649500,-579.984680175781
-1634000,1649500,-613.247985839844
-1633500,1649500,-680.685424804688
-1633000,1649500,-755.150390625
-1632500,1649500,-812.959350585938
-1632000,1649500,-889.145263671875
-1631500,1649500,-944.278015136719
-1631000,1649500,-935.365966796875
-1630500,1649500,-920.633728027344
-1630000,1649500,-898.891540527344
-1629500,1649500,-877.612121582031
-1629000,1649500,-848.382019042969
-1628500,1649500,-834.546997070313
-1628000,1649500,-802.002502441406
-1627500,1649500,-791.790161132813
-1639500,1650000,-746.850952148438
-1639000,1650000,-713.443054199219
-1638500,1650000,-687.361877441406
-1638000,1650000,-652.818237304688
-1637500,1650000,-614.964660644531
-1637000,1650000,-554.935485839844
-1636500,1650000,-553.508056640625
-1636000,1650000,-564.817565917969
-1635500,1650000,-577.057250976563
-1635000,1650000,-631.945251464844
-1634500,1650000,-686.446594238281
-1634000,1650000,-730.953063964844
-1633500,1650000,-751.598815917969
-1633000,1650000,-783.607360839844
-1632500,1650000,-820.373962402344
-1632000,1650000,-901.15966796875
-1631500,1650000,-970.858215332031
-1631000,1650000,-958.810974121094
-1630500,1650000,-964.310302734375
-1630000,1650000,-952.26416015625
-1629500,1650000,-921.823181152344
-1629000,1650000,-896.019287109375
-1628500,1650000,-859.717590332031
-1628000,1650000,-828.218200683594
-1627500,1650000,-792.968505859375
-1640500,1650500,-879.474853515625
-1640000,1650500,-873.096252441406
-1639500,1650500,-855.128601074219
-1639000,1650500,-813.964294433594
-1638500,1650500,-787.168334960938
-1638000,1650500,-776.73193359375
-1637500,1650500,-739.787902832031
-1637000,1650500,-699.534851074219
-1636500,1650500,-672.886779785156
-1636000,1650500,-686.136047363281
-1635500,1650500,-698.428100585938
-1635000,1650500,-742.530944824219
-1634500,1650500,-788.380249023438
-1634000,1650500,-813.227966308594
-1633500,1650500,-844.429077148438
-1633000,1650500,-853.652526855469
-1632500,1650500,-880.039794921875
-1632000,1650500,-885.404907226563
-1631500,1650500,-904.140625
-1631000,1650500,-916.112731933594
-1630500,1650500,-936.976013183594
-1630000,1650500,-959.389465332031
-1629500,1650500,-924.868469238281
-1629000,1650500,-889.883666992188
-1628500,1650500,-851.092468261719
-1628000,1650500,-833.280334472656
-1627500,1650500,-797.877380371094
-1627000,1650500,-763.419860839844
-1641500,1651000,-758.175170898438
-1641000,1651000,-798.122009277344
-1640500,1651000,-852.493530273438
-1640000,1651000,-873.385864257813
-1639500,1651000,-862.628051757813
-1639000,1651000,-833.275756835938
-1638500,1651000,-808.783935546875
-1638000,1651000,-803.83154296875
-1637500,1651000,-786.650085449219
-1637000,1651000,-751.422485351563
-1636500,1651000,-715.221557617188
-1636000,1651000,-712.263977050781
-1635500,1651000,-720.242553710938
-1635000,1651000,-748.248229980469
-1634500,1651000,-770.844055175781
-1634000,1651000,-787.835754394531
-1633500,1651000,-826.065307617188
-1633000,1651000,-820.160888671875
-1632500,1651000,-782.752624511719
-1632000,1651000,-766.159423828125
-1631500,1651000,-737.568603515625
-1631000,1651000,-680.781616210938
-1630500,1651000,-747.144226074219
-1630000,1651000,-812.457336425781
-1629500,1651000,-833.019653320313
-1629000,1651000,-799.183288574219
-1628500,1651000,-767.906677246094
-1628000,1651000,-705.082397460938
-1627500,1651000,-679.594421386719
-1627000,1651000,-700.278686523438
-1642500,1651500,-736.590393066406
-1642000,1651500,-704.762023925781
-1641500,1651500,-696.332275390625
-1641000,1651500,-721.9765625
-1640500,1651500,-765.276977539063
-1640000,1651500,-829.486267089844
-1639500,1651500,-868.959045410156
-1639000,1651500,-846.039428710938
-1638500,1651500,-811.264038085938
-1638000,1651500,-808.888916015625
-1637500,1651500,-794.454833984375
-1637000,1651500,-745.626953125
-1636500,1651500,-709.211059570313
-1636000,1651500,-688.381896972656
-1635500,1651500,-683.762512207031
-1635000,1651500,-683.842102050781
-1634500,1651500,-677.740661621094
-1634000,1651500,-699.460754394531
-1633500,1651500,-700.790588378906
-1633000,1651500,-702.240783691406
-1632500,1651500,-678.910583496094
-1632000,1651500,-645.951965332031
-1631500,1651500,-628.713012695313
-1631000,1651500,-570.434204101563
-1630500,1651500,-546.687133789063
-1630000,1651500,-594.392456054688
-1629500,1651500,-648.604736328125
-1629000,1651500,-627.662048339844
-1628500,1651500,-596.285278320313
-1628000,1651500,-591.742309570313
-1627500,1651500,-594.014038085938
-1627000,1651500,-659.20361328125
-1626500,1651500,-653.173461914063
-1643500,1652000,-731.205810546875
-1643000,1652000,-702.284423828125
-1642500,1652000,-682.864135742188
-1642000,1652000,-682.423645019531
-1641500,1652000,-667.142944335938
-1641000,1652000,-677.692321777344
-1640500,1652000,-717.334045410156
-1640000,1652000,-786.0458984375
-1639500,1652000,-837.60546875
-1639000,1652000,-829.25830078125
-1638500,1652000,-824.516418457031
-1638000,1652000,-824.875732421875
-1637500,1652000,-789.711486816406
-1637000,1652000,-735.902099609375
-1636500,1652000,-700.346496582031
-1636000,1652000,-689.590637207031
-1635500,1652000,-676.031372070313
-1635000,1652000,-663.516479492188
-1634500,1652000,-650.624450683594
-1634000,1652000,-640.453796386719
-1633500,1652000,-632.000854492188
-1633000,1652000,-635.086853027344
-1632500,1652000,-649.3310546875
-1632000,1652000,-643.570556640625
-1631500,1652000,-607.999755859375
-1631000,1652000,-546.635375976563
-1630500,1652000,-500.382965087891
-1630000,1652000,-481.379974365234
-1629500,1652000,-496.974578857422
-1629000,1652000,-537.203247070313
-1628500,1652000,-560.519226074219
-1628000,1652000,-605.184936523438
-1627500,1652000,-635.809875488281
-1627000,1652000,-660.934326171875
-1626500,1652000,-679.935668945313
-1644500,1652500,-659.286926269531
-1644000,1652500,-675.815307617188
-1643500,1652500,-682.511169433594
-1643000,1652500,-660.319946289063
-1642500,1652500,-667.824645996094
-1642000,1652500,-691.056091308594
-1641500,1652500,-674.732604980469
-1641000,1652500,-673.586730957031
-1640500,1652500,-692.49560546875
-1640000,1652500,-729.487976074219
-1639500,1652500,-776.272094726563
-1639000,1652500,-815.062438964844
-1638500,1652500,-828.931884765625
-1638000,1652500,-828.285278320313
-1637500,1652500,-780.795593261719
-1637000,1652500,-731.292846679688
-1636500,1652500,-711.612548828125
-1636000,1652500,-707.144470214844
-1635500,1652500,-697.70068359375
-1635000,1652500,-677.525573730469
-1634500,1652500,-663.416076660156
-1634000,1652500,-650.307067871094
-1633500,1652500,-652.1201171875
-1633000,1652500,-659.890380859375
-1632500,1652500,-683.479919433594
-1632000,1652500,-685.851257324219
-1631500,1652500,-659.418884277344
-1631000,1652500,-613.309692382813
-1630500,1652500,-568.215942382813
-1630000,1652500,-545.190307617188
-1629500,1652500,-551.064697265625
-1629000,1652500,-559.254455566406
-1628500,1652500,-612.377685546875
-1628000,1652500,-683.404418945313
-1627500,1652500,-705.815185546875
-1627000,1652500,-727.645935058594
-1626500,1652500,-718.234191894531
-1626000,1652500,-734.858764648438
-1645500,1653000,-692.714416503906
-1645000,1653000,-632.142822265625
-1644500,1653000,-616.868103027344
-1644000,1653000,-654.516052246094
-1643500,1653000,-665.371948242188
-1643000,1653000,-673.128234863281
-1642500,1653000,-707.281066894531
-1642000,1653000,-710.807373046875
-1641500,1653000,-687.141235351563
-1641000,1653000,-667.795715332031
-1640500,1653000,-667.474853515625
-1640000,1653000,-681.055114746094
-1639500,1653000,-714.704406738281
-1639000,1653000,-755.708374023438
-1638500,1653000,-801.111022949219
-1638000,1653000,-814.626708984375
-1637500,1653000,-781.619201660156
-1637000,1653000,-755.423828125
-1636500,1653000,-735.743225097656
-1636000,1653000,-715.481140136719
-1635500,1653000,-684.879699707031
